PARCELID,zonecode
M240300001500,SR
M240300001700,UR
M240300001600,SR
M240300001600,SR
M240300001600,SR
M240300001800,CB
M240300001600,SR
M240300002400,SR
M240300002500,SR
M240300002600,SR
M240300002700,UR
M240300002800,UR
M240300002900,UR
M240300003000,SU
M240300004200,SR
M240300004100,SR
M240300004000,SR
M240300003900,SR
M240300003800,SR
M240300003700,UR
M240300003600,UR
M240300003500,UR
M240310032000,SR
M240310031900,SR
M240310031800,SR
M240310031700,SR
M240310031700,UR
M240310031700,UR
M240310031900,SR
M240310031800,SR
M240310031700,SR
M240300000200,UR
M240300000300,UR
M240300000400,UR
M240300001300,UR
M240300001200,UR
M240300001100,UR
M240300001000,UR
M240300000900,UR
M240300000800,UR
M240300006900,SR
M240300002300,UR
M240300002200,UR
M240300001900,UR
M240300002100,UR
M240300002000,UR
M240300003400,UR
M240300003300,UR
M240300003200,UR
M240300003100,UR
M240110009000,CB
M240110000200,CB
M240110000100,CB
M240110008900,CB
M240110000300,I
M240110000301,I
M240110008800,I
M240110000400,I
M240080008900,UR
M240110008700,I
M240110000500,I
M240270002200,UR
M240270002300,UR
M240270002400,UR
M240270002500,UR
M240270006200,UR
M240270002600,UR
M240270002700,UR
M240270006100,UR
M240280003100,I
M240270005600,UR
M240270002801,UR
M240270006300,CB
M240270002800,UR
M240270006000,UR
M240270005900,UR
M240270005800,UR
M240270005801,UR
M240270005700,UR
M240270002900,UR
M240270003000,UR
M240270003100,UR
M240270003200,UR
M240270003300,UR
M240270003400,UR
M240270003500,UR
M240280003000,I
M240280002900,I
M240280002800,I
M240280002600,I
M240280002700,I
M240280003200,UR
M240280005100,UR
M240280005200,UR
M240280005300,UR
M240280005200,UR
M240050003200,UR
M240050000301,UR
M240060001300,UR
M240050000100,UR
M240050000200,UR
M240050000300,UR
M240230012600,UR
M240230012700,UR
M240230012800,UR
M240230019600,UR
M240230019200,UR
M240230019300,UR
M240230019400,UR
M240230019500,UR
M240230026700,UR
M240120017000,UR
M240120017100,UR
M240120016900,UR
M240220012300,DE
M240220011900,DE
M240220012000,DE
M240220012100,DE
M240220012400,DE
M240220012200,DE
M240220012501,DE
M240220011800,DE
M240040001500,SR
M240040001400,SR
M240040001300,SR
M240040001200,SR
M240040001101,SR
M240040001000,SR
M240040000900,SR
M240040001100,SR
M240060000100,UR
M240060000200,UR
M240060002800,UR
M240060002800,UR
M240060002800,UR
M240060000200,UR
M240060002800,UR
M240060000200,UR
M240290008400,CB
M240290012603,CB
M240290012602,CB
M240290008000,CB
M240290008100,CB
M240290008101,CB
M240290008200,CB
M240290008300,CB
M240290007900,CB
M240290007800,CB
M240290007700,CB
M240290007600,CB
M240290007500,CB
M240290007400,CB
M240290008400,CB
M240290008500,CB
M240290008600,CB
M240290008800,CB
M240290008700,CB
M240290008900,CB
M240290008901,CB
