precinct,precinctLeader,giellis,heffernan,simpson,scott,calderon,giavanni,hancock,fiorino,tate,evans
525,Michael B. Hancock,0.2301,0.0221,0.0044,,0.1925,0.0022,0.4358,,0.0973,0.0155
526,Michael B. Hancock,0.2097,0.0524,,,0.206,,0.4007,,0.1236,0.0075
527,Michael B. Hancock,0.1671,0.0678,,,0.1864,,0.4334,,0.1308,0.0145
528,Michael B. Hancock,0.2045,0.0368,,,0.2025,,0.4172,,0.1329,0.0061
529,Michael B. Hancock,0.2564,0.0194,0.0012,,0.158,,0.4192,,0.1422,0.0036
530,Michael B. Hancock,0.1176,0,,,0.3529,,0.4412,,0.0882,0
531,Michael B. Hancock,0.1727,0.0747,,,0.232,,0.4278,,0.0851,0.0077
532,Michael B. Hancock,0.2211,0.0759,,,0.2574,,0.3267,,0.1155,0.0033
533,Michael B. Hancock,0.2117,0.0524,,,0.256,0.002,0.3367,,0.121,0.0202
534,Michael B. Hancock,0.1828,0.033,,,0.2687,,0.3789,,0.1145,0.022
535,Michael B. Hancock,0.2141,0.053,0.0022,,0.2627,0.0066,0.362,,0.0927,0.0066
536,Michael B. Hancock,0.1692,0.0404,,,0.197,,0.4874,,0.101,0.0051
537,Michael B. Hancock,0.1853,0.049,,,0.1771,,0.485,,0.0872,0.0163
538,Michael B. Hancock,0.1931,0.0317,,,0.2046,,0.4669,,0.0922,0.0115
539,Michael B. Hancock,0.1995,0.0738,,,0.2186,,0.3989,,0.0874,0.0219
540,Michael B. Hancock,0.2843,0.0181,,,0.1331,,0.4738,,0.0867,0.004
541,Jamie Giellis,0.3683,0.0327,,,0.1497,,0.3494,,0.0947,0.0052
542,Michael B. Hancock,0.2791,0.0215,,,0.1656,,0.4233,,0.1043,0.0061
543,Michael B. Hancock,0.2337,0.0553,,,0.2789,,0.3015,0.0025,0.1281,0
601,Michael B. Hancock,0.232,0.0251,,,0.2069,,0.3229,,0.2132,0
602,Michael B. Hancock,0.2452,0.0312,,,0.2356,,0.3365,,0.1394,0.012
603,Lisa Calderón,0.1663,0.036,,,0.3281,,0.2989,,0.1528,0.018
604,Michael B. Hancock,0.1704,0.0568,,,0.2543,,0.4222,,0.084,0.0123
605,Jamie Giellis,0.2894,0.0079,,,0.2185,0.002,0.2618,,0.2185,0.002
606,Michael B. Hancock,0.2678,0.0182,,,0.2386,,0.275,,0.1985,0.0018
607,Jamie Giellis,0.3728,0.0089,,,0.1607,,0.2545,,0.1897,0.0134
608,Jamie Giellis,0.3844,0.0124,,,0.0902,,0.3103,,0.2015,0.0012
609,Jamie Giellis,0.4219,0.0052,,,0.1146,,0.25,,0.2031,0.0052
610,Jamie Giellis,0.4008,0.0162,,,0.0972,,0.3117,,0.1741,0
611,Jamie Giellis,0.2935,0.0149,,,0.209,,0.2687,,0.2114,0.0025
612,Michael B. Hancock,0.2614,0.0165,,,0.1938,,0.3053,,0.2176,0.0055
613,Jamie Giellis,0.3351,0.0139,0.0035,,0.1528,,0.3142,,0.1788,0.0017
614,Jamie Giellis,0.3786,0.0146,,,0.1699,,0.2646,,0.1723,0
615,Michael B. Hancock,0.3397,0.0052,,,0.1063,,0.4094,,0.1359,0.0035
616,Jamie Giellis,0.4176,0.0024,,,0.0558,,0.363,,0.1578,0.0036
617,Michael B. Hancock,0.3642,0.0135,,,0.0573,0.0017,0.4081,,0.1535,0.0017
618,Jamie Giellis,0.4251,0.0148,,,0.0739,,0.3031,,0.1811,0.0018
619,Jamie Giellis,0.4176,0.0114,,,0.0767,,0.2822,,0.2072,0.0049
620,Michael B. Hancock,0.29,0.012,,,0.168,,0.376,,0.152,0.002
621,Michael B. Hancock,0.3613,0.0051,0.0017,,0.0771,0.0017,0.3699,,0.1781,0.0051
622,Jamie Giellis,0.3805,0.0099,,,0.0778,,0.3281,,0.2037,0
623,Jamie Giellis,0.4417,0.0051,,,0.0909,,0.3214,,0.1383,0.0026
624,Jamie Giellis,0.4353,0.0081,,,0.1509,,0.2507,,0.1523,0.0027
625,Michael B. Hancock,0.3269,0.0043,,,0.1282,,0.3846,,0.1538,0.0021
626,Michael B. Hancock,0.2167,0.0026,0.0026,,0.1802,,0.4073,,0.188,0.0026
627,Jamie Giellis,0.3777,0.0087,,,0.097,,0.3502,,0.165,0.0014
628,Jamie Giellis,0.3333,0.0145,,,0.1498,,0.3269,,0.1691,0.0064
629,Michael B. Hancock,0.3492,0.0031,,,0.1179,,0.3629,,0.1623,0.0046
630,Michael B. Hancock,0.3462,0.0085,,,0.1111,,0.3526,,0.1795,0.0021
631,Michael B. Hancock,0.2366,0.0363,,,0.1889,,0.4408,,0.0897,0.0076
632,Jamie Giellis,0.4,0.0112,,,0.136,0.0016,0.2272,,0.2176,0.0064
633,Michael B. Hancock,0.3147,0.0162,,,0.1059,0.0015,0.3397,,0.2206,0.0015
634,Jamie Giellis,0.3436,0.0109,0.0018,,0.1036,,0.3127,,0.22,0.0073
635,Jamie Giellis,0.4039,0.0139,,,0.085,,0.3134,,0.1811,0.0028
636,Jamie Giellis,0.3163,0.0099,,,0.1121,,0.2652,,0.295,0.0014
637,Jamie Giellis,0.4296,0.0124,,,0.0663,,0.3287,,0.163,0
638,Jamie Giellis,0.361,0.0268,,,0.1293,0.0024,0.3073,,0.1707,0.0024
639,Jamie Giellis,0.3485,0.0059,,,0.0868,,0.3044,,0.2529,0.0015
640,Jamie Giellis,0.3717,0.0145,,,0.0944,,0.27,,0.2433,0.0061
641,Jamie Giellis,0.316,0.0173,,,0.1792,,0.3035,,0.1761,0.0079
642,Jamie Giellis,0.3439,0.0134,,,0.1202,,0.3072,,0.2087,0.0067
643,Michael B. Hancock,0.2,0.029,,,0.1613,,0.4419,,0.1484,0.0194
644,Michael B. Hancock,0.3005,0.0275,,,0.1309,0.0032,0.3861,,0.1405,0.0113
645,Jamie Giellis,0.3579,0.0188,,,0.1353,,0.3425,,0.1353,0.0103
646,Michael B. Hancock,0.2017,0.0273,,,0.1765,,0.4328,,0.1429,0.0189
647,Michael B. Hancock,0.3102,0.0255,,,0.1953,,0.3266,,0.1387,0.0036
648,Michael B. Hancock,0.2697,0.0328,,,0.185,,0.3064,,0.1946,0.0116
649,Michael B. Hancock,0.2149,0.0404,,,0.2511,,0.3383,,0.1426,0.0128
650,Michael B. Hancock,0.2715,0.0375,,,0.1292,,0.3539,,0.206,0.0019
651,Michael B. Hancock,0.1935,0.0138,,,0.212,,0.447,,0.129,0.0046
652,Michael B. Hancock,0.295,0.0162,,,0.146,,0.3776,,0.1534,0.0118
701,Michael B. Hancock,0.0823,0.0148,,,0.1582,,0.5675,,0.173,0.0042
702,Michael B. Hancock,0.2033,0.003,,,0.2077,0.003,0.5015,,0.0757,0.0059
703,Michael B. Hancock,0.1889,0.0083,0.0139,,0.1278,,0.5111,0.0028,0.1472,0
704,Michael B. Hancock,0.0923,0.0132,,,0.19,,0.5752,,0.1214,0.0079
705,Michael B. Hancock,0.2165,0.0188,,,0.1688,,0.443,,0.1501,0.0029
706,Michael B. Hancock,0.1912,0.0063,,,0.188,,0.4423,,0.1722,0
707,Michael B. Hancock,0.1765,0.0087,,,0.1133,,0.5403,,0.159,0.0022
708,Michael B. Hancock,0.2263,0.0096,,,0.1742,,0.417,,0.1701,0.0027
709,Michael B. Hancock,0.125,0.0275,,,0.2125,,0.4575,,0.165,0.0125
710,Michael B. Hancock,0.2116,0.0124,,,0.1971,,0.4585,,0.1141,0.0062
711,Michael B. Hancock,0.0818,0.0182,,,0.2273,,0.5,,0.1636,0.0091
712,Michael B. Hancock,0.1696,0.0179,,,0.2679,,0.4286,,0.1071,0.0089
713,Michael B. Hancock,0.2322,0.0096,,,0.1689,,0.4587,,0.1305,0
714,Michael B. Hancock,0.0627,0.0396,,0.0066,0.1056,,0.5974,,0.1848,0.0033
715,Michael B. Hancock,0.0629,0.0315,,,0.1189,0.0035,0.6573,,0.1224,0.0035
716,Michael B. Hancock,0.1091,0.0182,,,0.1273,,0.6409,,0.1,0.0045
717,Michael B. Hancock,0.1111,0.0037,,,0.0926,,0.6889,,0.0889,0.0148
718,Michael B. Hancock,0.0893,0.0241,,,0.1306,,0.6151,,0.1134,0.0275
719,Michael B. Hancock,0.0564,0.0125,,,0.1442,,0.6897,,0.0846,0.0125
720,Michael B. Hancock,0.0807,0.0062,,,0.087,,0.7267,,0.0901,0.0093
721,Michael B. Hancock,0.0431,0.0154,,,0.1015,,0.7323,,0.0985,0.0092
722,Michael B. Hancock,0.0693,0.0066,,,0.1815,,0.6436,,0.0924,0.0066
723,Michael B. Hancock,0.0679,0.009,,,0.1538,,0.6425,,0.1086,0.0181
724,Michael B. Hancock,0.0833,0.0062,,,0.0802,0.0031,0.7377,,0.0895,0
725,Michael B. Hancock,0.028,0,,,0.22,,0.64,,0.096,0.016
726,Michael B. Hancock,0.0569,0.0301,,,0.0669,,0.709,,0.1204,0.0167
727,Michael B. Hancock,0.096,0.0155,,,0.192,0.0062,0.6378,,0.0526,0
728,Michael B. Hancock,0.1293,0.0162,,,0.1824,,0.5704,,0.097,0.0046
729,Michael B. Hancock,0.1477,0.0102,,,0.1257,0.0015,0.6374,,0.0716,0.0058
730,Michael B. Hancock,0.1415,0.007,,,0.0994,0.0014,0.6499,,0.0896,0.0112
731,Michael B. Hancock,0.107,0.0185,,,0.1564,,0.6214,,0.0905,0.0062
732,Michael B. Hancock,0.0423,0.0098,,,0.1661,,0.7329,,0.0391,0.0098
733,Michael B. Hancock,0.164,0.0323,,,0.1363,,0.5751,,0.0831,0.0092
734,Michael B. Hancock,0.1289,0.0174,,,0.1359,0.0035,0.5993,,0.101,0.0139
735,Michael B. Hancock,0.114,0.0146,,0.0029,0.1462,0.0058,0.6228,,0.0906,0.0029
736,Michael B. Hancock,0.1056,0.0141,,,0.1162,,0.6761,,0.0845,0.0035
737,Michael B. Hancock,0.1103,0.0257,,,0.1654,,0.5772,,0.1176,0.0037
738,Michael B. Hancock,0.0859,0.0126,,,0.1237,,0.6212,,0.149,0.0076
739,Michael B. Hancock,0.1064,0.0142,,,0.1454,,0.6383,,0.0887,0.0071
740,Michael B. Hancock,0.1188,0.0145,,,0.1101,0.0058,0.6261,,0.113,0.0116
741,Michael B. Hancock,0.0679,0.0107,,,0.125,,0.7286,,0.0643,0.0036
742,Michael B. Hancock,0.1099,0.0209,,,0.2094,,0.534,,0.1152,0.0105
743,Michael B. Hancock,0.2557,0.0076,,,0.0916,,0.563,,0.0821,0
744,Michael B. Hancock,0.194,0.0078,,,0.1268,,0.577,,0.0918,0.0026
745,Michael B. Hancock,0.195,0.0177,,,0.1229,,0.5638,,0.1005,0
746,Michael B. Hancock,0.2371,0.0117,,,0.1549,,0.5164,,0.0775,0.0023
801,Lisa Calderón,0.1382,0.0407,,,0.336,,0.3333,,0.122,0.0298
